time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.18852672582e-07,-8.8315194162e-08,10.0056899839,6.28304695192,0.000116720916067,0.0,-1.09888445139e-05,-1.0397304722e-05,0.189652965753,-0.00737087037992,0.00557713521135,0.0,465.0003407126491,465.4369144288854,464.021838086752,463.4430002707844
0.12000000000000001,-4.43153989881e-06,-5.41658525254e-06,10.0203488984,6.28238179252,0.000281768744608,0.0,-0.000159320636987,-0.000223121416569,0.298954518386,-0.0198044126799,-0.00360487634934,0.0,439.68810155451337,438.9268286316408,440.9910429677191,439.96309583941127
0.18,-1.95418705532e-05,-4.07021163019e-05,10.04201984,6.28081180609,6.28272543612,0.0,-0.000307032302423,-0.00109370495085,0.423371492745,-0.0436109682877,-0.0424367833061,0.0,446.59432789720165,443.4161579868588,445.3521474459606,443.40073953192837
0.23999999999999996,-1.46255672682e-05,-0.000177901798719,10.0749627734,6.27852324173,6.27973332012,0.0,0.000806218218738,-0.00378218519345,0.674610320141,-0.0289901073455,-0.0720161155036,0.0,484.5184309883863,482.28823634598683,481.5082752168888,482.61229504381015
0.3,0.00012904074597,-0.000515746483501,10.1201808918,6.27732135793,6.27534403873,0.0,0.00446372219747,-0.00763670495197,0.832554980339,-0.00637679223601,-0.0755336362173,0.0,455.34977777800674,455.0643127798066,454.7068688796842,456.5145501369982
0.36000000000000004,0.000594297829421,-0.00110896343225,10.1752130869,6.2768280831,6.27072203222,0.0,0.0115572205062,-0.0121852152221,1.00171316381,-0.0121920464657,-0.0802137300353,0.0,458.726292359155,458.3500339808462,459.8005675413693,459.3398137682291
0.4200000000000001,0.00157381870969,-0.00197858584563,10.2390721386,6.27653004536,6.26566449105,0.0,0.0216119782844,-0.0168527396999,1.12679881024,0.00655418722746,-0.0940354911824,0.0,446.9597770037219,445.8261363847258,444.5121865139406,446.0456408227603
0.48000000000000015,0.00329217578041,-0.00313927121266,10.3117361944,6.27653904997,6.25957838461,0.0,0.0363127125619,-0.0218076036393,1.29514795414,-0.0174679115232,-0.123407212984,0.0,460.72876513269046,458.39182605864715,460.17518107766995,458.26991554432993
0.5400000000000001,0.00610072066095,-0.00462030769572,10.397074077,6.27579353024,6.25322461016,0.0,0.0581398518773,-0.0276680161972,1.54911606567,-0.00387911202584,-0.083902673892,0.0,483.70050865631225,486.65642126907034,484.3314268911104,485.3523830715017
0.6000000000000002,0.0102889652989,-0.00644839925647,10.4950173694,6.27591611388,6.24839915279,0.0,0.0820112583373,-0.0332703858464,1.71540713408,0.011831321523,-0.074248270544,0.0,460.39085035920436,461.14902103256276,458.40283049878224,459.64942930637767
0.6600000000000003,0.0160851622298,-0.00862010888539,10.6048565762,6.27653794166,6.24375932346,0.0,0.111732475091,-0.0390363035834,1.94551603734,0.00725413912762,-0.0843395395281,0.0,478.39556190258037,477.6222817691907,480.85139533930356,480.5044229097782
0.7200000000000003,0.0239835151485,-0.0111566901237,10.7335082416,6.27675130137,6.2387516932,0.0,0.15225049531,-0.0454623090816,2.34211543993,-0.00511611380681,-0.0817590267518,0.0,526.2043432656577,526.3784376171843,526.6177034642709,525.7613502896648
0.7800000000000004,0.0341095031956,-0.0140262157083,10.8782225508,6.27649891682,6.23398510548,0.0,0.185789602027,-0.0502165914174,2.481375147,-0.00244629841648,-0.075175251892,0.0,453.830347523708,454.35353760179413,455.09359988339236,455.3073197310986
0.8400000000000004,0.0465490054833,-0.0172127597979,11.0352773976,6.27623876467,6.23018473076,0.0,0.229349565446,-0.0560227907521,2.75314100618,-0.00841181469542,-0.0465201319903,0.0,492.55021477115883,494.66203180947457,495.1265374512564,494.6875535986249
0.9000000000000005,0.0616528370007,-0.0207507668041,11.207881695,6.2754028405,6.22741084679,0.0,0.274421442816,-0.0619851161727,2.99969654184,-0.0282525957751,-0.0456602756135,0.0,488.00279950312796,488.06592481734515,489.456257139532,487.97753842719516
0.9600000000000005,0.0794953959577,-0.0246669845306,11.3946573184,6.274307488,6.22450703206,0.0,0.320634043098,-0.0687123809717,3.22551983206,-0.00340766397663,-0.0545227340337,0.0,483.2080488654017,482.5382340997504,483.5898512886657,485.45772278419275
1.0200000000000005,0.100292058325,-0.0290243342964,11.5968266192,6.27398978244,6.22203778978,0.0,0.37289757412,-0.07655838666,3.51258831166,-0.0093660131938,-0.022805807484,0.0,501.3146770471645,503.61313193222657,502.39399872893773,501.9618874448348
1.0800000000000005,0.124180700999,-0.0338463833797,11.8146109718,6.27412389403,6.22171054199,0.0,0.42343005525,-0.0841877231737,3.746138748,0.0188188211474,0.0164243967131,0.0,487.70629015021774,490.62774937342664,487.59233218903813,489.6934785946325
1.1400000000000006,0.150786028391,-0.0390708995682,12.0412981279,6.27543297557,6.22217899918,0.0,0.463315912413,-0.0898427963819,3.80988792113,0.0272267610088,-0.0212626935018,0.0,440.9719046633283,437.8474591836728,438.72345077743614,439.42106198897903
1.2000000000000006,0.179711101307,-0.0445985963166,12.2706333106,6.27719964094,6.2206624431,0.0,0.500970082498,-0.0942585738272,3.83452061658,0.0335462297051,-0.0348365779649,0.0,427.68973807741185,426.53181284943577,426.7803395464004,427.31972001317956
1.2600000000000007,0.210993761184,-0.0503636545365,12.502529206,6.27925839558,6.21851686366,0.0,0.541972153903,-0.0977133253948,3.89511561441,0.035802527969,-0.0376724037144,0.0,438.8722077806677,438.6361669076522,438.999566341254,439.18726288384
